apple	[0.0037527567559031342, -0.061194441220487436, 0.0075757794545450305, -0.008688100492798775, 0.0342934012008383, -0.12250389981944543, 0.09477315918107733, -0.050838255705391036, 0.027879260433329712, -0.017598988044233804, 0.10924667988632987, 0.14857832909922983, -0.059622956567041356, -0.08369139789017971, -0.07125077166336319, -0.03386100310707805, -0.008182486728951634, 0.8479289933455793, -0.00952786304564961, 0.21341222936649804, -0.02358260170026849, 0.03747858502181052, -0.003987828707768783, -0.007988855211751286, 0.061846302290240324, -0.011243024716761585, 0.11519258208729961, 0.06671841681309529, 0.08070563196497275, -0.06864564348540295, 0.04646087914798341, -0.07585447806176511, 0.06176770522828256, -0.024470300266527904, -0.0454722516446016, 0.18348805667698906, -0.00957095083081351, 0.026294853084495355, 0.04164149565477289, 0.05354815417962917, -0.0359054594194511, -0.17055510975677185, 0.04991130860212588, -0.11874125799661851, -0.024922085819004364, 0.0017472327248773715, 0.047796257210969875, -0.07045089130917011, -0.09207749889356835, 0.009426584580844584]
quattro	[-0.23316244398081826, -0.004192160028068099, -0.03973978904508732, -0.16477003719560146, 0.14918352435207863, 0.17179360080711908, -0.20622335688098578, -0.23983463556781687, -0.11680861749247266, 0.14235184705501577, 0.20668198281703673, 0.16377671639576555, 0.2070677752963212, -0.006461192897955091, -0.09558117888781974, -0.2408861194406984, 0.006774871194002431, 0.19448233650878274, -0.21578076453597184, 0.03356102592752195, -0.15729611585942846, 0.14332649090050414, -0.07184306441610987, 0.06012026179111593, -0.0040526393522211214, -0.15885217676800928, -0.22346824336781893, 0.003728412828959717, -0.09551653659262357, -0.04323882139783084, 0.08594742715581095, 0.14749548455987693, 0.05249973927159416, 0.2233187037954909, 0.12519648465487357, 0.1985376784568436, 0.07719702384219965, 0.18153175554804854, -0.1509147681343183, -0.05382846910414971, 0.19030029134556298, 0.03556684417334203, 0.04392280681648518, 0.028227364723786542, -0.1534167605512575, -0.09254153629386278, -0.06770973938271083, -0.21066252460159418, 0.05458261578713523, -0.005891612758774924]
apple patent application	[-0.0019083331374820272, 0.1693600393107993, -0.14910293955050272, -0.17646617154989297, -0.0278154194981645, -0.12367559369655484, -0.05859549399844588, -0.006971889350912208, -0.22104691946000865, -0.15080248154268935, -0.0987418408093459, 0.14994267311063292, -0.0014151693014090795, 0.026480143425928256, -0.07296344199629369, -0.06569956684491261, -0.16813360214245696, 0.0801778299267754, 0.06534943554930248, 0.11543694531928277, 0.03229495056825076, 0.11392609031467806, 0.12340965789455778, 0.05813217774375675, 0.037771628043675044, 0.058670537048740395, -0.23726977399399898, 0.3230967673569264, -0.018019967049799836, 0.20880280434516285, 0.053759208295169864, 0.013507686155891773, 0.12262725273219462, 0.046043018912370545, -0.16843658249191082, 0.22884969660853513, 0.083646177381996, 0.03115127409071341, -0.16908865725510186, -0.24893801304173413, -0.14579930099668514, 0.06839053278809759, -0.2875698716987178, -0.03186719538602271, 0.10245091225911074, -0.12207234496474616, -0.23081177422314275, 0.1837716444202516, 0.24789512199993752, -0.08222802200766928]
thin device	[0.212089849347509, -0.053137066924385266, -0.20432370109988768, -0.2139196696901475, 0.11602700828039972, -0.16915475160195334, 0.10702448752836057, 0.10303373456277326, -0.04832674114494558, 0.14342612688896292, -0.21727878281121332, 0.2773745599624434, -0.20098342856058188, -0.12932241804549643, -0.019744932276358533, -0.05688073528131896, -0.09343464999034923, -0.07144934360242057, 0.15706589354661038, 0.16630052636298237, -0.01247330310460212, 0.1946940862437034, -0.1544702730506103, -0.07474242198321908, -0.017876219783423564, -0.023845652842808856, 0.14222668366695493, 0.2245672703902746, 0.033880301214061, 0.16924378679406524, 0.1333509190640525, 0.07646911891685833, 0.18689049104376604, 0.16560332192719027, -0.20356391756670764, 0.05284536939808324, 0.1533952651310972, 0.22537551723782714, -0.08351281802470567, 0.11656810492584854, -0.09428060437667903, -0.07637030680997456, -0.06351828812533764, -0.08133828385382051, 0.10792344831400137, -0.2197567244878932, -0.09289044948618572, -0.04553660160051902, 0.08907827609204245, -0.16936409648004289]
iphone	[0.021458806335327936, -0.03372776083987359, -0.29475835274443624, 0.11011191181518716, -0.247825545673373, -0.06397872528582113, -0.1973074499245399, -0.042394243762264396, -0.2061663661051124, 0.04040658653726851, -0.01589579223485457, -0.30840352833962903, -0.09556442326377519, -0.10989709752449484, 0.05379377816552903, -0.08798181394169254, -0.2077675124579886, 0.04326832018917633, 0.020032119770849198, 0.02567133162101018, 0.18091945637784518, -0.03815745665662102, 0.09015293867908825, 0.15012572254205694, -0.22103859770972822, -0.059963775580554046, -0.021608009831443262, -0.023185354261340663, 0.09822578827193401, 0.20561612724713615, 0.13947533391875777, 0.22899173035404022, -0.030899434368199134, -0.23918658482405636, -0.07132933445580791, 0.25527555546786274, 0.06022814658504203, 0.04298166526969786, -0.05463904653321325, -0.008222481389752592, 0.05685863561887224, 0.30968139266524103, -0.17715484865337064, 0.17516293037841557, 0.0027991121193576413, 0.0206403784014424, -0.08803729799879118, -0.018271515102723797, 0.15314907335580855, 0.058828231823382905]
touchscreen test	[-0.15002334648179133, 0.1527408650472573, -0.08790683993467216, 0.08956949620972034, -0.05244556922100553, 0.16145962689540969, 0.1413330380741139, 0.051781088701600024, -0.30036850679144617, -0.07030489368974534, -0.1346408699988644, -0.1045744332827887, 0.004896053622173558, 0.023171023103501658, 0.1712182887171665, 0.09456244474260332, -0.22324748847460643, -0.10523422818465132, 0.025836304147338843, -0.10010880868626726, 0.12027213488700267, -0.07968124622684913, 0.06761458512217043, 0.015332531047315853, -0.22314874867547235, 0.12520333446034668, -0.10136836160128489, 0.17024506277316298, -0.009017937242367253, 0.21538360823684316, 0.14753236947889584, -0.13501462494690905, 0.13185314596376205, -0.19557342298167463, 0.011000694740623299, 0.08007033522671916, -0.07203809629977302, -0.00357772714572416, 0.18367901534772357, 0.11148413459994135, -0.11520218079612696, 0.18060208251712884, -0.29166798079243544, 0.17326320337168935, 0.007354813772344702, -0.14641792267230955, -0.23004421689937268, -0.16069109717639923, 0.2010171711744425, 0.1425235994249719]
late creation	[0.24342363516458285, 0.07472920209501456, 0.0002735711173997211, -0.07718627909898132, 0.05089994304045497, 0.07613419902365745, 0.2169363416965641, 0.17882167171909522, 0.1395679496890973, 0.14379983519766734, -0.06899258418987106, -0.15861262476792237, 0.1741854191421305, 0.060031976246688726, -0.09178581646983815, -0.13660068971000783, 0.10827210194086292, 0.3238869355132627, 0.08058665241007174, -0.029605230237529683, -0.07741979222242001, 0.1110670952072756, 0.08082033777434666, 0.0386509180477887, -0.04854516361799738, 0.043392575006887785, 0.275336822493634, 0.13286676360591562, 0.020118832235275257, 0.18297295900913715, -0.08744902018730821, -0.16633345326559804, 0.08864866376950259, 0.04414685926909871, -0.1478997388624588, -0.09936498791631432, 0.18808753846605022, -0.18894959229992722, 0.16231496916230914, 0.06283824137635102, -0.16824264462580021, -0.07327148736514942, 0.16495128019823274, 0.1615779625033216, 0.2582140822699742, -0.1500023817528339, -0.046251990574218714, 0.0886353278994395, -0.06329796058110573, 0.24560602984242433]
apple and google	[0.08008965954351889, 0.040883590230416884, -0.2814857191156116, 0.06945563984750046, -0.01982018335883283, -0.19214785182053173, -0.061627507012757154, -0.016081143568017563, 0.06582464636419952, -0.06355907050733971, -0.03224721956581317, -0.007550758826238997, -0.14844321749850278, 0.1001243848165149, 0.16130986440011755, -0.23631683265512585, 0.3274298826047427, -0.047957791496942494, -0.0894387471240748, 0.10880588465305063, -0.11491688787995322, -0.13973063015592807, -0.19254337909993638, -0.0818104429246433, -0.08293225326987302, -0.03059428483470965, 0.003914716847457703, 0.10326666975126525, 0.15502766420314398, 0.06212645877971596, -0.11744411096906125, 0.11715238136044862, -0.23279837185158472, 0.2904640862996915, 0.09298741746639645, 0.22326551668053737, -0.22946410783353488, -0.07053884700536416, 0.05795186150215289, -0.025424074903858687, 0.17460796007814075, -0.15893790410501557, -0.07828104238832366, -0.17717742794647437, -0.04785142289569696, -0.1112522995642497, 0.21205396531650375, -0.015217584794998282, -0.2129431293135538, -0.07853981367117417]
war	[-0.24664560459047555, 0.04034006607065356, -0.06186568583977922, -0.1897906030600181, -0.14551004548617658, -0.2194983103437473, -0.2177375860786478, -0.07768428993234998, -0.03250671332743275, 0.1777514598756615, -0.0008480243574379666, 0.2681008853530098, -0.15837374251902692, 0.048327725547110026, -0.07158315109585497, 0.09199843998465618, 0.07700537459925846, -0.057104279121217856, -0.2072017088462841, 0.23346724461126975, 0.11707657119133975, 0.001688478389469994, -0.03574412156791668, -0.1699776369578473, 0.09723877239961644, -0.048641240012990423, -0.02484955129386627, 0.1210746482496866, -0.0027253654024382164, 0.15582937787546286, -0.18763940714806449, 0.17951991284948127, -0.29048982853933386, 0.17857596271059042, -0.08626669102395113, -0.027208023142283183, 0.0013021119445749735, -0.05425818438324946, -0.1419827938332503, -0.07620849752683007, 0.23111392023792257, -0.1916699153231293, 0.18101831600131657, -0.05217982210796544, -0.0974665121261855, 0.13763391782255413, -0.17378244357580616, -0.11595087981673405, 0.02476108742794723, -0.09117050783964954]
laptop sales	[-0.17672136883617404, -0.18239143201408795, 0.042681244625961734, -0.031468399729039934, -0.006076051503179991, -0.2166323124212692, 0.2709189591936962, 0.1585836147015555, 0.17078850397247433, 0.21831923262427033, 0.05884978512721217, 0.002375532550534391, 0.016407579517201884, 0.1490373476492909, 0.033957367585574265, 0.11126722885098024, 0.12920433260417472, -0.061693774042416376, 0.1635788335451586, 0.01721912009656119, 0.02552137587180412, -0.1913648614852894, -0.05118871193538971, -0.25806814779068366, -0.0801210833652772, 0.23139507141236412, 0.2618830269796881, -0.0967821990785591, 0.04313088868153948, 0.20939456356603917, -0.25357448285032996, 0.0429089614261611, -0.14956731178637075, -0.18833213801295876, 0.058401997652636, 0.04576159286295418, -0.2428056238763562, 0.08029464095011442, 0.08611956526938981, -0.09534113334553658, -0.17016023011463444, 0.05492714429560501, -0.06661294127713266, -0.01509418716330508, 0.0005603781110033014, -0.03264935819134797, -0.2029161762106693, 0.04771684995572006, -0.1207290382496755, 0.16147487379989942]
apple top forecasts	[-0.23798816675623663, -0.21710480051118872, 0.03620772239520396, 0.16168043610887717, 0.15719860497644436, -0.1703126231422213, 0.05517449856746813, -0.021428161118938017, 0.13624395749338342, -0.021027950771843475, -0.13150457527968676, -0.13014297450493714, 0.050629752751236476, 0.17481079553715603, 0.06473379344179749, 0.0053487568284472185, -0.08318889273013284, -0.2727835786797505, 0.17055444800329483, -0.1825189881138926, -0.20264118393504957, -0.028226054990817824, -0.02381006386018036, -0.11410923798789202, -0.043885950365099576, 0.2526869529246026, 0.1431784059319401, 0.054068294504044226, -0.11064626724261886, -0.0710308290596858, -0.1721293857177526, 0.04224395299767034, -0.24077704776199665, -0.1601518354323603, 0.11428490338036772, -0.032260300039858754, -0.24173284196891878, -0.1289949715736975, 0.09768749004529272, 0.10912733316164541, -0.059584973663631385, -0.061198599337432893, -0.16389505957154046, 0.00959004764096107, -0.13031131841656607, -0.20938807948001967, 0.18371923806510018, -0.1394637789856302, -0.15780054550419337, -0.1283272766877149]
