buy	[0.14309276775697125, 0.12535562478856957, -0.07075278107414082, -0.07984328697474032, 0.09756810877900941, 0.2325178607676898, -0.2870190337561, 0.17680698876854098, -0.14576838635611974, -0.16707419137271842, 0.06704121859068807, 0.14936342430701696, 0.12708483038271692, 0.1308594319135167, -0.05230567358260063, 0.1346299807881094, -0.19175143220051694, 0.017581426265978636, -0.22537088947039272, -0.14676378953215372, 0.15669363942591338, 0.15465029581250278, -0.09324426899228065, -0.06976133055936062, -0.1086238823424894, 0.030903212823319703, -0.14113074011783405, -0.12013598871032741, -0.12669529034061852, 0.12152724579958661, 0.02166574124155281, 0.07355411336612444, -0.1877157168922941, 0.208892432319719, 0.23659111344628142, -0.07636541074384283, 0.15430596472433464, -0.08248009485947588, -0.061403762725645114, -0.12934448713337282, 0.23499514271418004, 0.16235823924508466, -0.03450740404619557, 0.16318103876145185, -0.25542234902875705, -0.02892095535414648, -0.07561129918974077, -0.08285101265089367, 0.0975736436379149, -0.02197930955313165]
could presage	[0.2236056250202633, -0.21850102850376021, -0.14811226139469955, -0.020879474647572113, 0.05654284039753473, 0.16014718333889172, -0.005410934279340491, -0.21705708062299167, 0.1602718133848097, 0.2686993217007599, -0.1484173220579357, 0.12129765868033432, 0.1555622169545911, 0.07665188392337827, 0.0784232494588935, 0.04555723415792446, 0.07322698106826944, -0.0519272880235909, 0.08120783108046987, 0.09014295840636373, -0.04504700490470106, 0.05998053067092688, -0.22009583693008067, -0.11713718396405391, -0.04891700581800657, 0.007687652333669351, -0.17355698059398558, -0.10139131058882503, 0.08963022467135537, -0.20804866363920577, 0.1715090894263821, 0.10594704861253025, 0.05983872312046796, 0.18324217980400592, -0.1419899578142362, -0.2074268845037721, 0.048816110228893275, 0.2014572206733316, 0.2224218315992228, -0.08606803467525477, 0.05483487714080821, -0.23102022483951537, -0.2064989778399411, -0.050725439673493425, -0.01068050721397254, -0.12492639416477382, 0.16820376382388894, 0.13520257996815027, -0.1724447758038367, -0.10850373134183976]
win	[0.019249221645490377, 0.13534723130895343, 0.19061375461304797, -0.14873309250686134, 0.007044043799147676, -0.2116517030272688, 0.06793968517423443, 0.18626011031102077, -0.06894077942217944, -0.06313414321668664, 0.030109861483685278, 0.23067571904435172, 0.14729672186669285, -0.09442491534760378, 0.13457748428761435, 0.28119441542721585, -0.02331856128992641, -0.17156687408921736, 0.017214580635209226, -0.1456107653650107, -0.054847933832029676, -0.05110744900265053, -0.07074538750657158, 0.22393327044493389, 0.13732083821590016, -0.08325116616752831, -0.0722297591736861, 0.23959910542347254, -0.24160467266383917, 0.031718426278203864, 0.039768939062415534, 0.15662255675800468, 0.02618695435623098, 0.0910421229798895, -0.1887501148172216, -0.1441452146251513, 0.09737875125763373, 0.1457065026460245, 0.27699384827693774, 0.07197143770262279, -0.1295562051520393, -0.10931145032446493, -0.1896390721553804, 0.03596520730637531, -0.13416798251275655, -0.17048006300077817, -0.22029964796924897, -0.11202578291628235, 0.054710926268146394, 0.0822825899102179]
show	[0.23563853829943981, -0.029130700491076435, 0.05235980375361103, -0.03947548859647225, -0.09814637502236209, 0.22319820487042302, 0.11939704855436631, 0.20596899138777985, -0.07428904556922426, 0.1421275965241616, 0.10781470560725549, -0.2393234643657953, -0.1348372914047509, 0.13175814718192155, 0.19040775312919353, -0.13925964018344392, -0.08147906197511445, -0.19797008843276714, -0.08142945102213485, -0.11831879362538388, -0.1678931809175695, -0.10879154824612045, 0.09799133320833829, 0.04679041618887486, -0.1404369709477676, 0.010185227205586313, 0.13708167958132408, -0.14657776336214282, -0.051621124108595456, 0.1915424396827304, -0.10390811570590933, 0.06188388198324011, 0.027633326046404078, 0.08519331103203508, -0.07033716245442702, 0.1737437302400841, 0.2112710829824728, -0.05756592821117411, -0.19258943607738363, 0.038384015258150196, -0.13694982516834003, -0.0859130486999374, 0.11742111021338816, 0.2425776790192549, 0.22619101611022266, -0.16565666524234343, 0.02698953215533496, -0.21720179597843123, -0.0732136948310953, 0.21147757740368422]
begun	[0.11681890185232555, 0.016731481793772138, -0.030141207568232242, -0.19928632137642568, 0.19212592107613638, -0.0476473742027594, 0.11734927054277734, -0.10830677146938282, -0.1444434875647696, 0.050643878949108864, 0.057451322402795005, 0.2466388073091779, 0.06487717171302763, -0.021425896747123495, -0.211224085281885, 0.2885649025230408, -0.14276202302581475, -0.15317143026710675, -0.11101379210377339, 0.07103052457994893, 0.14000279059777393, -0.0977874482707094, 0.16985954106611448, -0.15930353065843975, -0.17994329498649916, 0.11305458380383714, 0.13778760123155204, -0.09923704061047181, -0.1392288518395548, 0.03239119743073903, 0.06912058263666271, 0.06058822657220533, -0.15355825750046667, -0.07936524792809392, 0.1229232599970839, -0.2365660687005818, 0.26542913952916497, 0.06891917014939185, -0.1622526503298917, -0.09089329917287166, -0.032146793437396674, -0.18101512946756748, -0.036568388209105365, 0.15321987514625351, -0.0891909680268676, 0.18276007892592092, -0.21725470310927777, -0.07977944032154603, 0.2100982902874645, -0.06894041306586968]
help	[-0.03065592282074666, -0.2183433064164769, -0.033387727319005786, 0.09857544930349375, 0.14318371889023562, 0.07092209406266588, -0.26090682879867744, 0.18922812189235463, -0.056336733312556786, 0.08954794687814964, -0.13717108933105263, -0.08144367706662045, 0.024821011971422363, -0.05707670673243157, 0.0076589074472644325, -0.15816578421429775, -0.23904610286178862, -0.27023713075405054, 0.059073601098421184, 0.023782561772276896, -0.12385075087579113, -0.22686866934912892, 0.08615981914132416, 0.27133725751941207, -0.08577860765700714, -0.009522781522896765, -0.16059072474388103, 0.16114036570411497, -0.15893282650959695, -0.02882928922625566, 0.041546691366031056, -0.017535046065769288, -0.07050248793787779, -0.1841343017872978, 0.1430199728289035, 0.1915195785800553, 0.019429989084323234, -0.12836047853550345, 0.04717146251587232, -0.231168397830771, 0.1286893813780312, 0.11385842025231811, 0.14680119450257553, -0.1021795436521267, -0.08858862565985118, -0.1601934741654112, 0.042378719922452825, -0.18498367658518292, 0.20915316729326144, 0.18118419258410107]
has	[-0.1819759543243679, 0.30097493981818635, -0.04249357392614102, 0.0018932031289734088, 0.0080187037745561, 0.2047630612798131, 0.01096938860831021, 0.2248789147230944, 0.08596962562883291, 0.023603390928600025, -0.16230204770134432, 0.03171529086822554, 0.02640337130866071, 0.027346117619300614, -0.14198226762004126, -0.09273773432828249, -0.09797597224054226, -0.3094946796146474, -0.11318399104954623, -0.06823329390800904, 0.2283558664317213, -0.09931929876126364, 0.22357665754614056, 0.12499108791769395, -0.17570344673400407, 0.2151995786500329, -0.058478709275634214, -0.25075127915787404, -0.0827519618141892, 0.22817018434849393, -0.02604811465213394, 0.0022896856483053, 0.045138282207035384, -0.2557569255562453, 0.13315013218083946, -0.002728079229249537, -0.04925913289592478, 0.11988294205641184, 0.1708024109710907, 0.13534681056336076, -0.019574614881506698, 0.08340076397100335, 0.05699726141965796, 0.038710728331003884, 0.047861333798710354, -0.12522232102050804, 0.11047768737621731, -0.12452348027289352, 0.12511081838290025, 0.19966099516925132]
looks like	[-0.23170987687571162, -0.18795096431328007, -0.15876147012533967, 0.04638535950173206, -0.2176393379695277, 0.12312116486053173, -0.20000412002272708, -0.05533035753901336, 0.02973317932647277, 0.09026197195767836, -0.11379890043792978, 0.136683701344641, -0.16298070263515574, -0.0616696598885063, -0.1420069713310005, 0.07169883990893476, -0.0877148162401863, -0.03660688691124134, 0.22963562609721688, 0.23171344318501863, 0.03933183799967402, -0.03578967633049058, -0.05678668755352842, -0.14115861695031073, -0.08233999224583867, -0.01859926427082729, 0.02623096645130573, 0.10260652655546877, -0.018436062063288676, 0.088980158401903, -0.12617036187454483, -0.11124783973893829, 0.18643553775616772, -0.0669542445529454, 0.11965627683411571, -0.20674138025865463, 0.16863081982094894, 0.21541681008072255, 0.05664512551457075, 0.1687568689101291, -0.05673215829535375, 0.1842728615221862, 0.2487223906124517, -0.2524516665978038, 0.180782478528192, -0.07531802637238565, 0.13435798513003455, 0.04885979112017565, -0.1168248577721038, -0.21755767553021474]
say for	[-0.06331189690964754, 0.00948288105501738, -0.15889841245837405, 0.06677551485414236, -0.17417036659130677, -0.23229521394921604, -0.07295302127996899, -0.04392362894761838, 0.12492002386535954, -0.037134912944356106, 0.09637463673944699, 0.23668704914136213, -0.07218558393268439, 0.16737271305510404, -0.12224534953491997, 0.022041883448837132, 0.2099794317406193, -0.22941369358250321, 0.06925868754185338, -0.2251347021105191, -0.05156502157533821, -0.18531657881820962, -0.20826400674898654, 0.02582828340638478, -0.014901676449666982, -0.14907991453569885, -0.1336885505338351, 0.16023076671580277, 0.14892547504637935, 0.133338028378128, -0.10688816002679118, 0.0689415404441327, -0.16008261946762029, 0.17085486996184696, 0.12814014897936885, 0.26562117486023784, 0.11308503049974399, -0.22612390164586005, 0.15118178880591693, 0.09514370305259129, -0.05939568293081518, -0.10341713193815713, -0.11010917813663082, 0.006769275888807016, -0.16977420473136431, 0.14018979841795634, -0.17933781215709677, 0.03702716995386429, -0.1563053711342458, -0.13367431871909616]
designed by	[-0.027904276722496502, 0.24543436425798923, 0.12126571559476419, -0.022002824549915943, 0.0812055053227875, 0.2143060310951594, 0.1195305062963005, -0.1846155817464797, -0.0104670597459295, -0.2016662383347546, 0.24828602434793076, -0.12691176077427518, -0.1647398978356794, -0.17167229098651918, 0.16819680418365168, -0.01534015478530818, 0.04704646298540667, 0.19533854379878154, 0.1726196631167624, 0.20729193857182432, -0.17731644848601416, -0.05395784879522783, 0.02706898123352619, 0.08767037564727241, 0.12409839134959351, -0.03550433523721464, 0.08503650023604095, -0.1773375261689714, -0.18463056277880377, -0.07670333187897689, 0.020427923199229217, 0.1129666920669641, 0.2325512622099483, 0.09372608257390007, -0.2074760710193947, 0.12112707525899084, 0.1673146992254492, -0.07316624531302267, -0.1829555545338541, -0.1915888405891674, 0.06134417400858531, -0.1325428943241992, 0.12207151691389183, -0.14703378226227218, 0.03970149061319601, -0.0031810892140710714, 0.23558015839735807, 0.1166864030554549, 0.043715634046424895, 0.016191959910054454]
